StateFIPSCode,CountyFIPSCode,FIPSCode,State,County,ReleaseYear,CountyRanked,PrematureDeath,PoororFairHealth,PoorPhysicalHealthDays,PoorMentalHealthDays,LowBirthweight,AdultSmoking,AdultObesity,FoodEnvironmentIndex,PhysicalInactivity,AccesstoExerciseOpportunities,ExcessiveDrinking,AlcoholImpairedDrivingDeaths,SexuallyTransmittedInfections,TeenBirths,Uninsured,PrimaryCarePhysicians,Dentists,MentalHealthProviders,PreventableHospitalStays,MammographyScreening,FluVaccinations,HighSchoolCompletion,SomeCollege,Unemployment,ChildreninPoverty,IncomeInequality,ChildreninSingleParentHouseholds,SocialAssociations,InjuryDeaths,AirPollutionParticulateMatter,DrinkingWaterViolations,SevereHousingProblems,DrivingAlonetoWork,LongCommuteDrivingAlone,LifeExpectancy,PrematureAgeAdjustedMortality,ChildMortality,InfantMortality,FrequentPhysicalDistress,FrequentMentalDistress,DiabetesPrevalence,HIVPrevalence,FoodInsecurity,LimitedAccesstoHealthyFoods,DrugOverdoseDeaths,InsufficientSleep,UninsuredAdults,UninsuredChildren,OtherPrimaryCareProviders,HighSchoolGraduation,DisconnectedYouth,ReadingScores,MathScores,SchoolSegregation,SchoolFundingAdequacy,GenderPayGap,MedianHouseholdIncome,LivingWage,ChildrenEligibleforFreeorReducedPriceLunch,ResidentialSegregationBlackWhite,ChildCareCostBurden,ChildCareCenters,Homicides,Suicides,FirearmFatalities,MotorVehicleCrashDeaths,JuvenileArrests,VoterTurnout,CensusParticipation,TrafficVolume,Homeownership,SevereHousingCostBurden,BroadbandAccess,Population,Below18YearsofAge,65andOlder,NonHispanicBlack,AmericanIndianorAlaskaNative,Asian,NativeHawaiianorOtherPacificIslander,Hispanic,NonHispanicWhite,NotProficientinEnglish,Female,Rural,MentalHealthProvidersPer100K,ACA
01,001,01001,AL,Autauga County,2023,1,8027.3947267,0.169,3.4322111963,4.7973512632,0.0973815192,0.183,0.373,6.6,0.264,0.5553779441,0.1665626017,0.3214285714,563.8,22.976945691,0.1055942098,4.452756e-4,3.215162e-4,3.5536e-4,4372,0.38,0.42,0.8958449033,0.5961259718,0.0281690141,0.161,4.7943999665,0.2676617636,12.645827767,68.573069812,10,0,0.1444262678,0.8640108852,0.416,76.585649727,427.07332591,51.496252217,6.8775790922,0.107,0.162,0.106,242.5,0.145,0.1302099797,8.3524744205,0.375,0.1315883191,0.03843278,4.738134e-4,0.87,NA,3.12696818,2.91727955,0.0528385249,-2077.142,0.6845106055,66444,NA,0.4125069793,32.707131005,0.2035097225,5.7263411694,5.9083891419,17.7372965,17.592044088,19.009599848,8.064516129,0.6618207817,0.688,151.93017027,0.7424505857,0.1275331768,0.8546394583,59095,0.2340637956,0.1604873509,0.2073102631,0.0045858364,0.0120314747,0.0011845334,0.033268466,0.7245452238,0.0023124124,0.513782892,0.4200216232,35.536,Not Implemented
01,003,01003,AL,Baldwin County,2023,1,8118.3582061,0.149,3.2761769521,4.7537497106,0.0838573118,0.169,0.326,7.5,0.232,0.6573584678,0.1896516601,0.3220338983,352.1,23.734320007,0.1087488083,6.542019e-4,4.764014e-4,0.0010447399,2864,0.39,0.47,0.9101415633,0.6610501121,0.0296297786,0.164,4.3007098007,0.1869917038,9.5949617728,74.835078875,7.6,1,0.1223897195,0.8140185095,0.376,77.724729177,381.70203137,51.169783452,5.2730696798,0.099,0.161,0.097,176.1,0.124,0.0793677936,17.5976783,0.351,0.1360883533,0.0376135147,7.438548e-4,0.8845220746,0.0785271463,3.192380762,3.037911538,0.0915020844,343.0381,0.7408774235,65658,NA,0.4637398579,38.482766252,0.2117487587,6.2318238471,3.2763778506,19.645883007,14.014402776,16.849943232,25.892857143,0.652909486,0.564,133.37726047,0.771212295,0.1096294183,0.8785640555,239294,0.2121825035,0.2146982373,0.0836794905,0.008002708,0.011224686,6.853494e-4,0.0484174279,0.8314876261,0.007596608,0.5134771453,0.4227909911,104.47398999999999,Not Implemented
01,005,01005,AL,Barbour County,2023,1,12876.760319,0.275,4.6054318631,4.9548545646,0.1191467222,0.259,0.464,5.8,0.357,0.548428022,0.1342877265,0.375,627.9,34.700315457,0.1436827544,3.253487e-4,3.204615e-4,2.403461e-4,3559,0.41,0.4,0.7567101973,0.3862692764,0.0572160547,0.351,5.1805972095,0.5407717164,9.3537760787,82.143056519,9.4,1,0.1621187801,0.8312256234,0.365,72.867210115,589.56609455,82.704937971,NA,0.149,0.18,0.156,456.5,0.195,0.1043317167,NA,0.439,0.1865806452,0.0373240873,6.008652e-4,0.8529607251,NA,2.389161313,2.00862944,0.0321364002,-13560.45,0.7359925573,38649,NA,0.5869290232,20.6345609,0.279231028,5.303030303,11.187747179,14.267052362,25.520172899,27.969367948,23.75,0.5402157165,0.545,100.06440999,0.6221390845,0.1021801629,0.6461267606,24964,0.2054959141,0.1997676654,0.473962506,0.0072504406,0.0046066336,0.0023233456,0.0495914116,0.4530523954,0.0138268098,0.4670325268,0.677896347,24.03461,Not Implemented
01,007,01007,AL,Bibb County,2023,1,11191.474323,0.216,4.0121820779,5.364779234,0.1003307607,0.228,0.384,7.4,0.316,0.182119948,0.1591628389,0.2142857143,549.3,34.166872988,0.1300787792,6.324539e-4,2.669395e-4,4.004093e-4,4856,0.31,0.34,0.8053808308,0.3686679174,0.0348130841,0.29,5.0349852694,0.2944395797,9.0350560173,103.34904358,9.8,0,0.1132075472,0.8696522392,0.551,73.609363092,567.50814595,82.232333754,NA,0.127,0.174,0.122,215.9,0.164,0.0044586621,23.905572987,0.4,0.1625818365,0.0388788427,0.0014681675,0.85,NA,2.688775131,2.56336673,0.0877772579,-2659.841,0.8249923644,48454,NA,0.4821944177,41.438566305,0.2568002642,5.016722408,9.5341002987,17.42273562,17.818800617,26.05987415,NA,0.5456354848,0.56,27.848983239,0.7878017789,0.0944846961,0.746011577,22477,0.201183432,0.1673710904,0.213284691,0.0050273613,0.0027583752,0.0012902078,0.0308760066,0.7356408773,0.0044306184,0.4601592739,0.6835260746,40.04093,Not Implemented
01,009,01009,AL,Blount County,2023,1,10787.014541,0.184,3.8660480758,5.377579831,0.0785988894,0.218,0.327,7.8,0.285,0.4135353604,0.1631068807,0.1505376344,290.5,29.509795952,0.1325467229,2.073291e-4,1.693738e-4,2.032486e-4,3010,0.32,0.42,0.8364807711,0.5677888348,0.0237991006,0.167,4.803717903,0.2217992826,6.7381952003,104.7493276,9.6,0,0.0988246582,0.8642026925,0.595,74.1714626,532.83648174,71.173044146,6.7215958369,0.119,0.174,0.109,76.2,0.138,0.0251220602,17.862802155,0.373,0.1673731343,0.0446606235,3.387476e-4,0.9549086758,0.1082712105,2.901714404,2.781496533,0.1066035592,-889.388335,0.8618398491,56894,NA,0.5081610446,54.722974143,0.2421344957,4.9033746755,7.166616418,20.517061307,20.396733757,30.643463304,6.4516129032,0.6418799442,0.667,43.727638603,0.7917840376,0.0825619588,0.8095774648,59041,0.2305347132,0.1872597009,0.0163276367,0.0066055792,0.004031097,0.0012364289,0.0986771904,0.8632983859,0.0172690691,0.5019223929,0.8995150204,20.324859999999997,Not Implemented
01,011,01011,AL,Bullock County,2023,1,11406.351094,0.297,4.6975575527,5.1402063643,0.1506228766,0.255,0.483,4.3,0.396,0.0278072801,0.1277270265,0.347826087,782.1,40.344271114,0.1236754705,3.007217e-4,1.937984e-4,1.937984e-4,3047,0.35,0.32,0.7760651447,0.3551934827,0.0399478941,0.417,6.274395038,0.6766623207,7.016840417,98.258853123,9.3,0,0.1292613636,0.838658147,0.494,73.81468226,556.11029653,NA,NA,0.153,0.177,0.181,638.3,0.16,0.3233919039,NA,0.46,0.1638976201,0.0285423038,6.782946e-4,0.825,NA,2.110535605,1.96826778,0.0113117201,-15766.85,0.6747384572,32027,NA,0.7629009763,32.984594921,0.4222062635,5.376344086,15.204710696,NA,25.547301812,49.760871368,12.222222222,0.590653009,0.488,42.902576017,0.6493126645,0.1853707415,0.5943258263,10320,0.2132751938,0.1759689922,0.6823643411,0.0093992248,0.003003876,0.0076550388,0.0906976744,0.2128875969,0.0132275132,0.4460271318,0.5137438153,19.379839999999998,Not Implemented
01,013,01013,AL,Butler County,2023,1,12717.030159,0.227,4.1852847641,5.217472194,0.1282853567,0.223,0.454,6.8,0.323,0.4500551152,0.137477207,0.3518518519,791.9,38.782523319,0.1348505435,2.050861e-4,3.706842e-4,8.472781e-4,4201,0.33,0.34,0.8556485356,0.4110509209,0.0532060027,0.342,5.3352661233,0.332187858,9.228876128,105.63201463,9.1,0,0.1168332052,0.8659173023,0.347,73.473279047,606.51274825,80.178683924,NA,0.13,0.176,0.138,340.4,0.163,0.0691828694,NA,0.409,0.1717510962,0.0374230223,9.531879e-4,0.84,NA,2.526134007,2.118341767,0.1146184738,-9255.564,0.8284014525,39442,NA,0.7854004731,27.48824395,0.3428325136,4.5998160074,19.437745222,13.633567924,26.408003656000002,38.155573953,NA,0.6291777188,0.558,59.206180582,0.7239320165,0.0870138431,0.763435921,18884,0.2256407541,0.2124020335,0.4466744334,0.0043423004,0.0142448634,4.236391e-4,0.0173162466,0.5062486761,6.632033e-4,0.5337322601,0.7123215735,84.72780999999999,Not Implemented
01,015,01015,AL,Calhoun County,2023,1,11826.11499,0.196,3.8225684765,4.8968874674,0.094372108,0.21,0.374,6,0.281,0.6479676403,0.1618824256,0.1428571429,449.8,30.487338383,0.1292500085,5.992826e-4,6.553306e-4,0.0014917394,3722,0.3,0.39,0.8521485616,0.5503259005,0.0413287653,0.252,4.8198680752,0.30135467,13.39572923,92.519581559,9.7,0,0.1189328551,0.8492825926,0.3,72.825007074,587.11909177,57.897409853,7.9311885612,0.12,0.171,0.123,254.5,0.161,0.15398073,19.334936766,0.381,0.1646183353,0.0317479774,8.27786e-4,0.9119841897,0.0811474152,2.945480411,2.786958409,0.198083756,-4113.42686,0.7580006465,48166,NA,0.5671984459,44.517691316,0.2240584645,5.5092316855,10.346211666,21.549051976,26.108745554,21.938954858,31.739130435,0.5785633227,0.636,154.48885089,0.7098092335,0.1133451327,0.8156902585,115972,0.2166643673,0.1846221502,0.2130341807,0.0053719863,0.0087607353,0.0011037147,0.0423809195,0.711137171,0.0064625509,0.5163573966,0.3369682556,149.17394000000002,Not Implemented
01,017,01017,AL,Chambers County,2023,1,11059.443876,0.215,4.0730385287,5.5068837107,0.1265306122,0.217,0.412,6.9,0.322,0.4993097895,0.1507498318,0.3,481.1,37.354951518,0.1321948889,4.259851e-4,2.026577e-4,8.68533e-5,3181,0.29,0.44,0.8278153697,0.5614694471,0.0367572372,0.322,4.2124930284,0.3250206669,18.865054009,101.02217706,9.8,0,0.1650557621,0.8697871197,0.281,73.761104989,530.58104964,86.399308806,9.0634441088,0.126,0.177,0.132,392.6,0.151,0.0810298845,10.026670945,0.434,0.1633997344,0.0397280967,2.026577e-4,0.8834405145,0.1538992409,2.634106621,2.497681651,0.163124585,-11972.667,0.7858224711,45447,NA,0.7173713235,30.544357934,0.3240697956,5.8365758755,10.616207126,26.661577773,26.899396258,25.054248818,26.129032258,0.5852575148,0.583,106.31959698,0.6926007773,0.0968588469,0.7713175341,34541,0.207174083,0.2028893199,0.4009438059,0.0038794476,0.0094380591,5.500709e-4,0.0292116615,0.5465678469,0.0020135457,0.5206276599,0.4914803449,8.68533,Not Implemented
01,019,01019,AL,Cherokee County,2023,1,11395.898384,0.193,3.8844282821,5.4912320456,0.0829238329,0.227,0.413,7.4,0.286,0.3822434023,0.1757782349,0.1777777778,267.2,32.86565443,0.1284478372,3.803149e-4,1.600256e-4,2.400384e-4,3916,0.31,0.47,0.7982208722,0.4987512008,0.0250677507,0.266,4.8088995665,0.2497407177,8.3669278162,98.382832196,9.5,0,0.0926874709,0.8482077922,0.456,74.014400904,543.28650871,65.343051018,NA,0.122,0.179,0.11,139.6,0.142,0.0500865225,17.82939813,0.382,0.1568075117,0.040632506,8.801408e-4,0.9,0.1187019641,2.784754319,2.646747671,0.0636005254,80.78809,0.8570314969,46365,NA,0.5546569267,42.417449947,0.2108487005,5.5096418733,8.2417582418,22.913019325,25.364323925,31.868131868,15,0.5951136913,0.457,1.2564353727,0.784874123,0.0833333333,0.7667148163,24996,0.188550168,0.2397583613,0.0411265803,0.0081212994,0.0053208513,2.800448e-4,0.0192830853,0.9107057129,0.0125596584,0.5024003841,0.8573627304,24.00384,Not Implemented
